//Source Element Type,Source ST filter,Target Element Type,Target ST Filter,Diagram Filter,New Element Type,New Element ST,New Link Type,New Link ST,New Link Direction,New Link Caption,New Link + Element Caption,Create Link,Create Element,Disallow Self connector,Exclusive to ST Filter + No inherit from metatype,Menu Group,Complexity Level,Target Must Be Parent,Embed element,Precedes Separator LEAF,Precedes Separator GROUP,DUMMY
Class,dDataEntity,,,,Activity,dActivity,Association,UsedBy,to,,Used by Activity,1,1,1,1,DAF,0,,,,1,0
Activity,dActivity,,,,Activity,dBusinessProcess,Aggregation,PartOf,to,,Part of Business Process,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessService,,,,Activity,dBusinessProcess,Aggregation,Orchestrates,to,,Orchestrates Business Process,1,1,1,1,DAF,0,,,,1,0
Actor,dRole,,,,Activity,dBusinessProcess,Association,CarriesOut,to,,Carries out process,1,1,1,1,DAF,0,,,,1,0
Actor,dRole,,,,Activity,dBusinessService,Association,Consumes,to,,Consumes Business Service,1,1,1,1,DAF,0,,,,1,0
Actor,dRole,,,,Actor,dOrganizationUnit,Aggregation,AreOrganizedWithin,to,,Part of Organization,1,1,1,1,DAF,0,,,,1,0
Actor,dActor,,,,Actor,dRole,Realization,IsPerformedBy,to,,Preforms Role,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessProcess,,,,Class,dCapability,Aggregation,Ensuresoperationof,to,,Ensures operation of Capability,1,1,1,1,DAF,0,,,,1,0
Activity,dInitiative,,,,Class,dCapability,Realization,IncreasesMaturityOf,to,,Increase Maturity of Capability,1,1,1,1,DAF,0,,,,1,0
Actor,dRole,,,,Class,dCapability,Aggregation,Executes,to,,Executes Capability,1,1,1,1,DAF,0,,,,1,0
Class,dLocation,,,,Class,dCapability,Aggregation,Supports,to,,Supports capability,1,1,1,1,DAF,0,,,,1,0
Component,dLogicalAppComponent,,,,Class,dCapability,Aggregation,Supports,to,,Supports Capability,1,1,1,1,DAF,0,,,,1,0
Activity,dInitiative,,,,Class,dDecision,Association,IsMakingUseOf,to,,Making use of Decision,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Class,dGoal,Realization,IsOperationalizedBy,to,,Operationalizes Goal,1,1,1,1,DAF,0,,,,1,0
